date,message,theme
2024-12-16,Avgun na ave te samadhi!,
2024-12-17,Gun leva jevi koi seva nathi.,
2024-12-18,Seva kare to khap jage.,
2024-12-19,"Tapnu ang rakhvu, to nabhi javay.",
2024-12-20,'What is right?' Is the right way.,
2024-12-21,"Mukhpaththi satsang ane abhyas, bannema khub pragati thashe.",
2024-12-22,Mahima samagamthi ave.,
2024-12-23,"Mahima samajvo, to divyabhav rahe.",
2024-12-24,Sar no sar – badhama divyabhav!,
2024-12-25,Mukhpath helps to build Akshardham within.,
2024-12-26,Gahrai me utro tabhi satsang ka maja aega.,
2024-12-27,Jetlu bhajan karyu te avinashi thai gayu!,
2024-12-28,Ghar sabha karvi e agna chhe.,
2024-12-29,Pragat guruma pratiti te j moksha!,
2024-12-30,Kharekhari kamani - Mokshani kamani.,
2024-12-31,Aksharbrahma satrano lahavo chuksho nahi.,
2025-01-01,'Mano mali chhe moti vaat...' pad roj vichar sahit gavu.,
2025-01-02,The Mission of our life: Rajipo!,
2025-01-03,"Swami te Gunatit Swami, Narayan Sahajanand Swami.",
2025-01-04,Ek nari sada brahmachari.,
2025-01-05,Agna palvi e swadharma.<br>To obey [God and guru] is one's duty.,
2025-01-06,Mukhpath brings us closer to the Satpurush.,
2025-01-07,Mandirthi andarni ashanti jay.<br>Mandirs remove inner unrest.,
2025-01-08,Satpurushma het tetlo satsang.<br>Love for the Satpurush is the measure of one’s satsang.,
2025-01-09,Anant janmani sadhananu fal satsang chhe.<br>The reward of spiritual endeavours over countless births is satsang.,
2025-01-10,"Pran jay toy satsang chhodvo nahi. <br>Never forsake satsang, regardless of life's difficulties.",
2025-01-11,Kharekhara bhakta thao to kharekhari drashti thay. <br> Becoming a genuine devotee leads to clear [spiritual] insight.,
2025-01-12,Divyabhav e bhakti chhe.<br>Divyabhav is devotion.,
2025-01-13,Bhakti kare e Bhakta<br>One who offers devotion is a devotee,
